Designator,MPN,Quantity,Supplier Link,BOM ID,Component ID,Image,Component Name,Manufacturer,Manufacturer Part #,ShenZhen OPL MPN,In OPL?,Ship to Seeed?,Supplier,Supplier Part #,Supplier Description,Mounting Type,Notes
J3,B6B-PH-SM4-TB(LF)(SN),1,https://www.digikey.com/en/products/detail/jst-sales-america-inc/B6B-PH-SM4-TBT-LF-SN/9918862,4,37,,JST 1x6 Right-Angle Shrouded PH Header,JST,B6B-PH-SM4-TBT(LF)(SN),B6B-PH-SM4-TB(LF)(SN),Yes,,Digi-Key,455-3363-1-ND,CONN HEADER SMD 6POS 2MM,SMT,
"R1,R2,R3,R5",RC0805FR-071KL,4,https://www.digikey.com/en/products/detail/yageo/RC0805FR-071KL/727444,8,41,,1K 0805 Resistor,Yageo,RC0805FR-071KL,RC0805FR-071KL,Yes,,Digi-Key,311-1.00KCRCT-ND,RES SMD 1K OHM 1% 1/8W 0805,SMT,
"R4,R6",RC0805FR-072KL,2,https://www.digikey.com/en/products/detail/yageo/RC0805FR-072KL/727664,9,42,,2K 0805 Resistor,Yageo,RC0805FR-072KL,RC0805FR-072KL,Yes,,Digi-Key,311-2.00KCRCT-ND,RES SMD 2K OHM 1% 1/8W 0805,SMT,
J1,5040501291,1,https://www.digikey.com/product-detail/en/molex/5040501291/WM16219CT-ND/6702294,2,32,,1x12 1.5mm Pitch Right-Angle Header,Molex,5040501291,,No,Yes,Digi-Key,WM16219CT-ND,CONN HEADER SMD R/A 12POS 1.5MM,SMT,
J2,5040500491,1,https://www.digikey.com/product-detail/en/molex/5040500491/WM10137CT-ND/4357653,3,31,,1x4 1.5mm Pitch Right-Angle Header,Molex,5040500491,,No,Yes,Digi-Key,WM10137CT-ND,CONN HEADER SMD R/A 4POS 1.5MM,SMT,
CN1,DF11C-12DP-2V(57),1,https://www.digikey.com/en/products/detail/hirose-electric-co-ltd/DF11C-12DP-2V-57/4282018,7,40,,Hirose 2x6 Shrouded DF11 Header,Hirose,DF11C-12DP-2V(57),,No,Yes,Digi-Key,H124541CT-ND,CONN HEADER SMD 12POS 2MM,SMT,
