Designator,Quantity,Supplier Link,BOM ID,Component ID,Image,Component Name,Manufacturer,Manufacturer Part #,Footprint,Supplier,Supplier Part #,Supplier Description,Mounting Type,Notes
J1,1,https://www.digikey.com/en/products/detail/molex/5040500891/4693487,2,44,,1x8 1.5mm Pitch Right-Angle Header,Molex,5040500891,1x8POS,Digi-Key,WM14421CT-ND,CONN HEADER SMD R/A 8POS 1.5MM,SMT,
J2,1,https://www.digikey.com/en/products/detail/5040500691/WM10143CT-ND/4357143,3,45,,1x6 1.5mm Pitch Right-Angle Header,Molex,5040500691,1x6POS,Digi-Key,WM10143CT-ND,CONN HEADER SMD R/A 6POS 1.5MM,SMT,
J3,1,https://www.digikey.com/en/products/detail/jst-sales-america-inc/B6B-PH-SM4-TBT-LF-SN/9918862,4,37,,JST 1x6 Right-Angle Shrouded PH Header,JST,B6B-PH-SM4-TBT(LF)(SN),1x6POS,Digi-Key,455-3363-1-ND,CONN HEADER SMD 6POS 2MM,SMT,
"U1,U2",2,https://www.digikey.com/en/products/detail/bourns-inc/PCW1J-C24-BAB103L/3534177,5,38,,Rotary Potentiometer,Bourns,PCW1J-C24-BAB103L,1x3POS,Digi-Key,PCW1J-C24-BAB103L-ND,POT 10K OHM 3/4W PLASTIC LINEAR,PTH,
"J4,J5",1,https://www.digikey.com/en/products/detail/phoenix-contact/1778719/5131543,6,49,,Phoenix 1x4 Shrouded SSL Header,Phoenix Contact,1778719,1x4POS,Digi-Key,277-10160-1-ND,HEADER 4POS SMT WHITE,SMT,
CN1,1,https://www.digikey.com/en/products/detail/hirose-electric-co-ltd/DF11C-12DP-2V-57/4282018,7,40,,Hirose 2x6 Shrouded DF11 Header,Hirose,DF11C-12DP-2V(57),2x6POS,Digi-Key,H124541CT-ND,CONN HEADER SMD 12POS 2MM,SMT,
"R1,R2,R3,R5",4,https://www.digikey.com/en/products/detail/yageo/RC0805FR-071KL/727444,8,41,,1K 0805 Resistor,Yageo,RC0805FR-071KL,805,Digi-Key,311-1.00KCRCT-ND,RES SMD 1K OHM 1% 1/8W 0805,SMT,
"R4,R6",2,https://www.digikey.com/en/products/detail/yageo/RC0805FR-072KL/727664,9,42,,2K 0805 Resistor,Yageo,RC0805FR-072KL,805,Digi-Key,311-2.00KCRCT-ND,RES SMD 2K OHM 1% 1/8W 0805,SMT,
