Designator,MPN,Quantity,Supplier Link,BOM ID,Component ID,Image,Component Name,Manufacturer,Manufacturer Part #,ShenZhen OPL MPN,In OPL?,Ship to Seeed?,Supplier,Supplier Part #,Supplier Description,Mounting Type,Notes
"J3,J4,J5",M20-8890445,2,https://www.digikey.com/product-detail/en/harwin-inc/M20-8890445/952-3233-ND/6565717,14,13,,1x4 Male Right-Angle Header,Harwin,M20-8890445,,No,Yes,Digi-Key,952-3233-ND,CONN HEADER SMD R/A 4POS 2.54MM,SMT,The long flat side should stick outwards.
"J6,J7",M20-8890645,1,https://www.digikey.com/product-detail/en/harwin-inc/M20-8890645/952-3235-ND/6565719,15,14,,1x6 Male Right-Angle Header,Harwin,M20-8890645,,No,Yes,Digi-Key,952-3235-ND,CONN HEADER SMD R/A 6POS 2.54MM,SMT,Connect between the Arduino Due's Native USB port and the Jetson Nano Carrier Board.
