BOM ID,Component ID,Image,Component Name,Manufacturer,Manufacturer Part #,Supplier,Supplier Part #,Supplier Link,Supplier Description,Mounting Type,Quantity,Designator,Notes
1,15.4,,Motion Plane v0.4.0,Seeed Studio,,Octopi Team,ODS-MPSv0.4.0,https://github.com/ethanjli/octopi-driver-board/tree/ODS-MPSv0.4.0/Stacked/Motion%20Plane%20for%20Squid,Motion Plane v0.4.0 for Squid,Fastener,1,,
3,16,,SilentStepStick Stepper Driver Board,Trinamic,TMC2209,Digi-Key,1460-1395-ND,https://www.digikey.com/product-detail/en/trinamic-motion-control-gmbh/TMC2209-SILENTSTEPSTICK/1460-1395-ND/10232488,TMC2209 STEPPER DRIVER BOARD,Daughter Board,4,"Driver 1,Driver 2,Driver 3,Driver 4","Solder the UART/PDN jumper pads on the board first! Then place on the male headers (short ends), confirm correct orientation, and solder."
5,9,,1X8 Male PTH Header,Pololu,965,Pololu,965,https://www.pololu.com/product/965,"0.100"" (2.54 mm) Breakaway Male Header: 1×40-Pin, Straight, Black",PTH,8,"H4, H5, H6, H7, H8, H9, H10, H11",Break off appropriate length of header and insert long ends into the female headers.
